Rooms,Bathroom,Landsize,Lattitude,Longtitude
1,1.0,0.0,-37.8421,144.9517
4,2.0,330.0,-37.8477,144.9558
2,1.0,136.0,-37.846,144.9517
3,1.0,202.0,-37.8429,144.9493
3,3.0,0.0,-37.8415,144.9585
3,2.0,325.0,-37.8413,144.95
4,2.0,183.0,-37.8434,144.9495
2,1.0,162.0,-37.8416,144.9488
2,1.0,79.0,-37.8387,144.9519
3,2.0,152.0,-37.8488,144.9551
3,2.0,147.0,-37.8448,144.9453
3,3.0,0.0,-37.8399,144.9577
1,1.0,81.0,-37.8411,144.9497
4,2.0,853.0,-37.7707,145.0318
3,2.0,208.0,-37.7854,145.0325
3,2.0,411.0,-37.7713,145.0279
4,2.0,599.0,-37.7717,145.031
5,4.0,809.0,-37.775,145.0268
2,1.0,88.0,-37.7791,145.0306
2,2.0,155.0,-37.7804,145.0308
2,1.0,0.0,-37.7773,145.0314
3,3.0,686.0,-37.78,145.0341
3,1.0,592.0,-37.7755,145.0288
2,1.0,183.0,-37.7747,145.0264
4,2.0,606.0,-37.7743,145.0316
4,2.0,575.0,-37.7723,145.0319
3,1.0,180.0,-37.7802,145.0243
2,1.0,0.0,-37.7773,145.0314
2,1.0,0.0,-37.7848,145.025
2,1.0,0.0,-37.7805,145.0262
3,1.0,979.0,-37.7792,145.029
4,2.0,556.0,-37.7844,145.0225
3,0.0,597.0,-37.7781,145.0284
4,2.0,589.0,-37.7719,145.0309
3,2.0,352.0,-37.87,144.825
5,3.0,729.0,-37.8721,144.8105
2,1.0,292.0,-37.8687,144.8197
3,1.0,506.0,-37.8693,144.8375
4,1.0,655.0,-37.868,144.8154
4,3.0,1057.0,-37.8681,144.819
3,1.0,311.0,-37.8702,144.8143
2,1.0,65.0,-37.8693,144.8171
3,1.0,602.0,-37.8616,144.8116
3,1.0,530.0,-37.8594,144.817
2,1.0,225.0,-37.8696,144.827
3,1.0,777.0,-37.8697,144.8249
3,2.0,280.0,-37.8734,144.8143
2,1.0,127.0,-37.8686,144.8182
4,2.0,695.0,-37.8733,144.8147
2,1.0,115.0,-37.871,144.8185
3,2.0,230.0,-37.8646,144.827
3,2.0,197.0,-37.8579,144.8181
2,1.0,0.0,-37.8678,144.8384
2,1.0,0.0,-37.8659,144.83100000000005
4,1.0,745.0,-37.8658,144.8155
3,2.0,211.0,-37.8698,144.816
3,2.0,69.0,-37.868,144.8286
3,1.0,625.0,-37.8611,144.8114
2,1.0,168.0,-37.8676,144.8202
2,1.0,137.0,-37.8655,144.8299
3,2.0,70.0,-37.868,144.8287
3,1.0,606.0,-37.8608,144.8124
2,2.0,175.0,-37.8687,144.8268
3,1.0,363.0,-37.8674,144.8375
3,2.0,534.0,-37.86,144.8245
3,1.0,724.0,-37.8672,144.817
3,2.0,265.0,-37.8583,144.8172
3,3.0,577.0,-37.8699,144.8235
3,2.0,205.0,-37.8684,144.815
4,1.0,797.0,-37.8663,144.8387
3,1.0,181.0,-37.8659,144.822
3,2.0,529.0,-37.8612,144.8247
2,2.0,675.0,-37.8653,144.8129
3,1.0,929.0,-37.8651,144.832
3,2.0,70.0,-37.868,144.8285
3,1.0,697.0,-37.871,144.8075
3,1.0,604.0,-37.8631,144.8195
4,2.0,532.0,-37.8637,144.8365
2,1.0,154.0,-37.8646,144.8272
5,3.0,592.0,-37.8388,144.8567
3,1.0,533.0,-37.8291,144.835
3,1.0,554.0,-37.8449,144.85
2,1.0,77.0,-37.8351,144.8529
3,1.0,655.0,-37.8338,144.8562
3,1.0,534.0,-37.8284,144.8355
3,1.0,540.0,-37.8267,144.8368
3,2.0,0.0,-37.8379,144.8583
3,1.0,328.0,-37.838,144.8555
3,1.0,540.0,-37.8294,144.8378
4,1.0,559.0,-37.8448,144.8529
3,1.0,554.0,-37.8449,144.85
2,1.0,252.0,-37.8397,144.8602
4,1.0,558.0,-37.8451,144.8529
3,2.0,171.0,-37.8337,144.8554
3,1.0,585.0,-37.8258,144.8523
4,1.0,851.0,-37.8345,144.8444
3,1.0,551.0,-37.8254,144.8514
3,1.0,602.0,-37.8327,144.8451
3,1.0,740.0,-37.8269,144.8455
4,2.0,315.0,-37.8391,144.8467
3,2.0,276.0,-37.8262,144.8443
3,1.0,531.0,-37.8277,144.8385
3,2.0,590.0,-37.8382,144.8649
3,1.0,715.0,-37.8423,144.8632
3,1.0,561.0,-37.8444,144.8491
2,1.0,691.0,-37.834,144.8553
3,2.0,555.0,-37.8318,144.8388
4,1.0,708.0,-37.833,144.8494
4,1.0,668.0,-37.8262,144.8439
4,3.0,252.0,-37.8393,144.8568
4,1.0,633.0,-37.8375,144.8541
3,1.0,557.0,-37.8441,144.8505
3,1.0,536.0,-37.8285,144.8351
2,1.0,153.0,-37.8332,144.8649
2,1.0,0.0,-37.8543,145.0262
2,1.0,861.0,-37.8539,145.0284
3,2.0,0.0,-37.8552,145.016
3,2.0,101.0,-37.854,145.0135
3,2.0,296.0,-37.8614,145.0274
1,1.0,0.0,-37.853,145.0167
3,1.0,217.0,-37.8592,145.0182
2,1.0,0.0,-37.8538,145.0127
3,2.0,0.0,-37.8537,145.0267
2,1.0,0.0,-37.8619,145.0257
3,2.0,205.0,-37.8574,145.0281
2,1.0,0.0,-37.8552,145.016
2,2.0,0.0,-37.8555,145.0291
4,2.0,1581.0,-37.858,145.0111
5,2.0,693.0,-37.8638,145.0229
3,2.0,2113.0,-37.8543,145.0262
2,1.0,0.0,-37.8528,145.0268
3,2.0,246.0,-37.8566,145.0116
2,1.0,0.0,-37.8596,145.0198
1,2.0,144.0,-37.8564,145.0228
1,1.0,0.0,-37.8619,145.0185
1,1.0,0.0,-37.8605,145.0185
2,2.0,0.0,-37.8537,145.0267
2,1.0,0.0,-37.8574,145.0174
2,1.0,249.0,-37.8543,145.016
4,2.0,624.0,-37.8536,145.0173
1,1.0,881.0,-37.8614,145.0222
3,2.0,405.0,-37.8545,145.0145
4,1.0,495.0,-37.8613,145.0264
1,1.0,0.0,-37.8537,145.0114
6,3.0,1491.0,-37.8602,145.013
2,1.0,169.0,-37.851,145.0161
3,3.0,301.0,-37.8511,145.0167
3,2.0,336.0,-37.8558,145.015
2,2.0,207.0,-37.8571,145.0224
1,1.0,0.0,-37.8531,145.0115
2,1.0,0.0,-37.8646,145.0247
3,2.0,316.0,-37.8521,145.019
3,1.0,212.0,-37.8542,145.0149
3,2.0,0.0,-37.8597,145.0104
2,1.0,0.0,-37.8573,145.0186
2,1.0,0.0,-37.8596,145.0198
3,1.0,328.0,-37.8559,145.0158
1,1.0,0.0,-37.8575,145.0174
1,1.0,0.0,-37.8509,145.0203
2,1.0,2471.0,-37.8573,145.0186
2,1.0,1194.0,-37.8604,145.0147
2,1.0,0.0,-37.8593,145.0156
3,1.0,186.0,-37.8554,145.0173
4,3.0,421.0,-37.8593,145.0275
2,1.0,0.0,-37.8618,145.0183
4,1.0,709.0,-37.8574,145.016
4,3.0,563.0,-37.8582,145.0138
3,1.0,103.0,-37.8542,145.0135
3,2.0,617.0,-37.8557,145.0264
4,3.0,544.0,-37.8611,145.0195
3,1.0,0.0,-37.853,145.0264
5,2.0,617.0,-37.8611,145.0271
2,1.0,0.0,-37.8573,145.0112
1,1.0,0.0,-37.8549,145.0113
2,0.0,0.0,-37.8568,145.0161
2,1.0,0.0,-37.8503,145.0185
2,1.0,0.0,-37.7756,144.9165
3,1.0,298.0,-37.7777,144.9195
2,1.0,0.0,-37.7761,144.9201
3,2.0,277.0,-37.7777,144.9221
2,1.0,423.0,-37.7736,144.9015
4,3.0,478.0,-37.7729,144.9179
3,1.0,623.0,-37.7758,144.9089
3,2.0,285.0,-37.775,144.9091
2,1.0,214.0,-37.7776,144.9142
6,3.0,1014.0,-37.7721,144.9184
2,1.0,226.0,-37.7745,144.9093
2,1.0,269.0,-37.7748,144.929
3,1.0,417.0,-37.7756,144.9208
3,1.0,350.0,-37.7759,144.91
2,1.0,330.0,-37.773,144.9049
2,1.0,118.0,-37.7807,144.9288
2,1.0,173.0,-37.7731,144.9206
2,1.0,228.0,-37.7718,144.9066
3,1.0,594.0,-37.7819,144.9064
2,1.0,0.0,-37.7738,144.9345
3,1.0,317.0,-37.7746,144.9112
2,1.0,226.0,-37.7774,144.9186
3,2.0,229.0,-37.7778,144.9065
4,1.0,300.0,-37.7766,144.9143
2,1.0,170.0,-37.7732,144.9206
3,1.0,487.0,-37.7725,144.9146
2,1.0,255.0,-37.7825,144.9208
2,1.0,0.0,-37.7731,144.9074
3,1.0,431.0,-37.781,144.9207
3,2.0,440.0,-37.7746,144.9031
3,2.0,532.0,-37.7737,144.904
1,1.0,0.0,-37.7723,144.9094
3,2.0,495.0,-37.7821,144.9055
4,2.0,683.0,-37.775,144.93200000000004
3,1.0,263.0,-37.7753,144.9116
4,2.0,559.0,-37.7791,144.9136
3,2.0,308.0,-37.7759,144.9338
2,1.0,0.0,-37.773,144.9303
4,3.0,562.0,-37.782,144.903
6,2.0,461.0,-37.78,144.9295
2,1.0,301.0,-37.7791,144.914
3,3.0,491.0,-37.7727,144.9136
3,1.0,242.0,-37.7765,144.9114
3,2.0,617.0,-37.7742,144.906
4,2.0,597.0,-37.7757,144.9088
2,1.0,387.0,-37.7734,144.9191
3,1.0,575.0,-37.7828,144.9049
5,2.0,521.0,-37.7778,144.9261
2,2.0,146.0,-37.7713,144.9038
2,2.0,113.0,-37.7712,144.9088
2,1.0,0.0,-37.7733,144.9219
2,2.0,0.0,-37.7786,144.9141
3,1.0,506.0,-37.7779,144.9133
3,2.0,318.0,-37.7744,144.9035
2,1.0,0.0,-37.7749,144.9137
2,1.0,325.0,-37.7722,144.9117
4,2.0,418.0,-37.7766,144.9187
2,1.0,0.0,-37.7779,144.9137
2,1.0,0.0,-37.7728,144.9169
3,1.0,414.0,-37.7766,144.9185
3,2.0,272.0,-37.7774,144.928
3,1.0,296.0,-37.777,144.9176
4,2.0,298.0,-37.7778,144.9131
3,2.0,0.0,-37.7722,144.9163
2,1.0,1957.0,-37.7731,144.9074
4,1.0,552.0,-37.7769,144.9138
3,2.0,416.0,-37.7727,144.9055
3,2.0,285.0,-37.7778,144.9061
3,2.0,314.0,-37.7778,144.9042
3,1.0,536.0,-37.7728,144.9076
3,2.0,576.0,-37.7816,144.9217
2,1.0,252.0,-37.7825,144.9206
2,1.0,124.0,-37.7807,144.9285
3,1.0,0.0,-37.7723,144.9094
3,2.0,200.0,-37.7766,144.9277
4,2.0,349.0,-37.7775,144.91299999999995
4,1.0,664.0,-37.7765,144.9132
3,1.0,555.0,-37.7767,144.9125
3,2.0,459.0,-37.7767,144.9124
3,1.0,278.0,-37.7768,144.9223
3,2.0,254.0,-37.7738,144.9215
3,1.0,216.0,-37.7792,144.9297
3,1.0,452.0,-37.7762,144.9174
2,1.0,194.0,-37.7772,144.9118
4,2.0,598.0,-37.7774,144.9104
3,1.0,194.0,-37.7756,144.921
2,1.0,407.0,-37.7756,144.9105
4,3.0,753.0,-37.8669,145.0767
3,2.0,599.0,-37.8673,145.0688
3,2.0,203.0,-37.8655,145.0807
3,3.0,310.0,-37.874,145.0714
2,1.0,710.0,-37.8636,145.0794
2,1.0,679.0,-37.869,145.0822
3,2.0,731.0,-37.8666,145.0676
3,3.0,276.0,-37.8699,145.0778
3,1.0,583.0,-37.8685,145.0786
8,7.0,1472.0,-37.8729,145.0788
4,2.0,681.0,-37.8612,145.0858
3,2.0,516.0,-37.8675,145.0668
3,1.0,806.0,-37.8695,145.084
3,1.0,780.0,-37.8599,145.0815
4,2.0,780.0,-37.86,145.0817
3,2.0,351.0,-37.8742,145.07
3,2.0,702.0,-37.8737,145.0695
2,1.0,704.0,-37.8745,145.0738
5,5.0,755.0,-37.8598,145.0796
3,1.0,227.0,-37.8709,145.0857
3,2.0,153.0,-37.8655,145.0808
3,1.0,545.0,-37.8605,145.0833
5,4.0,1075.0,-37.8714,145.07299999999995
3,2.0,710.0,-37.8653,145.0897
4,2.0,749.0,-37.8669,145.077
3,2.0,724.0,-37.8619,145.0879
3,1.0,605.0,-37.8703,145.0774
2,1.0,687.0,-37.872,145.0692
4,2.0,321.0,-37.8693,145.08
3,1.0,583.0,-37.8679,145.0781
5,3.0,700.0,-37.8724,145.0758
4,2.0,696.0,-37.8711,145.0746
3,2.0,295.0,-37.8624,145.0798
4,2.0,514.0,-37.8664,145.0772
4,2.0,844.0,-37.8715,145.0688
3,1.0,637.0,-37.8645,145.0797
3,1.0,1063.0,-37.8752,145.0754
3,1.0,697.0,-37.8636,145.0903
2,1.0,583.0,-37.8693,145.1082
3,1.0,842.0,-37.867,145.1092
3,2.0,467.0,-37.8639,145.0968
4,3.0,372.0,-37.8716,145.0999
2,1.0,695.0,-37.8694,145.0944
4,2.0,621.0,-37.8647,145.1023
3,1.0,723.0,-37.8642,145.1109
2,1.0,367.0,-37.8662,145.109
3,2.0,400.0,-37.8675,145.106
4,2.0,724.0,-37.8651,145.1109
4,2.0,526.0,-37.8661,145.1013
3,1.0,792.0,-37.864,145.0972
4,2.0,803.0,-37.8621,145.1126
4,3.0,724.0,-37.8651,145.1107
2,1.0,216.0,-37.8711,145.1017
3,2.0,782.0,-37.8621,145.1021
4,2.0,593.0,-37.8655,145.096
3,1.0,772.0,-37.8707,145.1036
5,3.0,585.0,-37.8637,145.1024
2,1.0,153.0,-37.8696,145.0962
2,1.0,72.0,-37.8702,145.1042
3,1.0,557.0,-37.8671,145.1117
4,2.0,766.0,-37.8629,145.1097
2,1.0,192.0,-37.8709,145.102
4,2.0,727.0,-37.8669,145.1106
2,1.0,586.0,-37.8683,145.1082
3,1.0,760.0,-37.858,145.1038
3,2.0,320.0,-37.87,145.1103
3,2.0,256.0,-37.8655,145.1096
3,2.0,839.0,-37.8614,145.1098
3,1.0,212.0,-37.8723,145.1089
3,1.0,593.0,-37.7677,144.8674
3,1.0,0.0,-37.7634,144.8611
3,3.0,557.0,-37.77,144.8572
3,1.0,542.0,-37.7706,144.8629
4,2.0,350.0,-37.7676,144.859
4,2.0,569.0,-37.7654,144.8655
3,2.0,671.0,-37.7593,144.871
4,5.0,673.0,-37.7545,144.8736
3,1.0,571.0,-37.7605,144.8581
3,1.0,570.0,-37.7591,144.8542
4,3.0,789.0,-37.7537,144.8729
3,1.0,529.0,-37.7721,144.8576
3,1.0,550.0,-37.7632,144.8622
3,2.0,339.0,-37.7519,144.8534
4,3.0,761.0,-37.7524,144.8714
4,3.0,1801.0,-37.7532,144.8766
2,1.0,136.0,-37.7623,144.8613
3,1.0,574.0,-37.7627,144.857
3,1.0,606.0,-37.752,144.85399999999996
3,2.0,289.0,-37.7644,144.8657
3,1.0,177.0,-37.7664,144.8583
3,1.0,649.0,-37.758,144.86
3,1.0,704.0,-37.7681,144.8592
3,1.0,322.0,-37.7686,144.8576
2,1.0,263.0,-37.7697,144.8657
3,1.0,766.0,-37.7522,144.8518
5,2.0,574.0,-37.7639,144.8615
3,1.0,581.0,-37.7691,144.8575
4,3.0,873.0,-37.7609,144.8639
3,1.0,586.0,-37.7642,144.8603
3,1.0,588.0,-37.771,144.8586
2,1.0,220.0,-37.756,144.8641
4,2.0,554.0,-37.7649,144.8633
3,1.0,260.0,-37.7507,144.8576
2,1.0,158.0,-37.7592,144.8681
3,2.0,705.0,-37.766,144.8596
3,1.0,812.0,-37.765,144.8578
3,2.0,585.0,-37.751,144.8571
3,1.0,597.0,-37.7568,144.8572
4,2.0,589.0,-37.7573,144.8534
2,1.0,0.0,-37.7608,144.863
4,2.0,570.0,-37.7513,144.859
4,1.0,569.0,-37.7563,144.8601
3,2.0,593.0,-37.7607,144.8581
4,2.0,585.0,-37.757,144.8566
3,1.0,549.0,-37.7644,144.8575
3,2.0,582.0,-37.7584,144.8568
3,1.0,590.0,-37.7567,144.8572
3,2.0,638.0,-37.7546,144.8585
3,1.0,607.0,-37.7546,144.857
4,2.0,244.0,-37.8668,144.9928
2,1.0,0.0,-37.8731,144.9958
1,1.0,0.0,-37.8733,144.997
2,1.0,114.0,-37.8723,144.9961
2,1.0,0.0,-37.8725,144.9952
2,1.0,0.0,-37.8742,144.9972
2,1.0,0.0,-37.8726,144.9962
3,1.0,178.0,-37.8663,144.9948
2,1.0,0.0,-37.8678,144.9966
2,1.0,0.0,-37.8691,144.9974
2,1.0,0.0,-37.8667,144.9917
2,1.0,159.0,-37.874,144.9933
3,2.0,339.0,-37.872,144.9909
2,1.0,483.0,-37.8727,144.9969
3,1.0,157.0,-37.8696,144.9925
1,1.0,0.0,-37.87300000000001,144.9907
2,0.0,0.0,-37.8739,144.9929
2,1.0,659.0,-37.8094,145.0807
4,2.0,715.0,-37.811,145.0958
2,1.0,208.0,-37.8128,145.0975
3,2.0,206.0,-37.8161,145.0812
5,3.0,715.0,-37.8028,145.0768
4,2.0,744.0,-37.8147,145.0748
3,3.0,651.0,-37.8085,145.0764
5,5.0,651.0,-37.8071,145.0908
2,1.0,122.0,-37.8124,145.0916
6,4.0,2051.0,-37.8051,145.1016
2,2.0,0.0,-37.8134,145.0972
5,3.0,600.0,-37.8061,145.0801
2,1.0,206.0,-37.8092,145.0778
3,2.0,175.0,-37.8162,145.0771
3,2.0,853.0,-37.807,145.0635
5,3.0,678.0,-37.8048,145.0708
2,1.0,0.0,-37.8152,145.0843
3,2.0,308.0,-37.8056,145.0788
2,1.0,1015.0,-37.8074,145.0826
2,1.0,209.0,-37.8125,145.0901
3,1.0,188.0,-37.8065,145.065
4,2.0,664.0,-37.8055,145.0699
2,1.0,0.0,-37.8162,145.0841
3,2.0,699.0,-37.814,145.0966
4,2.0,577.0,-37.8032,145.0693
2,1.0,0.0,-37.8116,145.0724
2,1.0,0.0,-37.8144,145.0993
1,1.0,740.0,-37.8125,145.0775
3,1.0,281.0,-37.8013,145.0652
4,3.0,453.0,-37.8044,145.1006
2,1.0,121.0,-37.8112,145.0881
4,3.0,1148.0,-37.8088,145.0991
3,2.0,219.0,-37.8125,145.0849
5,3.0,678.0,-37.8063,145.0705
5,3.0,642.0,-37.8096,145.0735
4,3.0,241.0,-37.8042,145.1042
4,2.0,935.0,-37.8157,145.0795
2,1.0,115.0,-37.8122,145.0879
2,1.0,104.0,-37.8061,145.0878
3,1.0,671.0,-37.8117,145.0775
4,3.0,674.0,-37.8068,145.0786
5,2.0,611.0,-37.8116,145.0789
2,1.0,0.0,-37.8152,145.0839
4,1.0,832.0,-37.8068,145.0827
2,1.0,231.0,-37.8123,145.0821
3,2.0,380.0,-37.8161,145.0772
3,2.0,306.0,-37.8106,145.0848
3,1.0,651.0,-37.8036,145.0715
3,1.0,697.0,-37.8044,145.0853
2,1.0,87.0,-37.8134,145.08100000000005
5,5.0,671.0,-37.8025,145.0665
5,6.0,739.0,-37.8039,145.0714
4,2.0,752.0,-37.8149,145.0747
2,1.0,213.0,-37.8092,145.0789
4,3.0,596.0,-37.815,145.076
4,3.0,1007.0,-37.8135,145.0995
5,3.0,674.0,-37.8095,145.0782
4,2.0,583.0,-37.8027,145.0694
4,2.0,685.0,-37.8056,145.071
2,1.0,0.0,-37.8147,145.084
4,2.0,842.0,-37.8054,145.0771
5,3.0,1468.0,-37.8131,145.1
3,2.0,190.0,-37.8164,145.0846
4,1.0,739.0,-37.8039,145.0631
4,2.0,665.0,-37.8057,145.0825
3,2.0,706.0,-37.8161,145.0748
3,2.0,613.0,-37.8056,145.0688
5,4.0,1437.0,-37.8058,145.0882
3,2.0,259.0,-37.8161,145.0809
5,3.0,715.0,-37.8028,145.0768
3,2.0,650.0,-37.8167,145.0797
5,2.0,981.0,-37.8058,145.0627
3,1.0,844.0,-37.8037,145.0636
2,1.0,130.0,-37.812,145.0876
5,7.0,0.0,-37.8049,145.0748
3,2.0,404.0,-37.8075,145.1011
3,1.0,607.0,-37.8058,145.0781
4,1.0,672.0,-37.8099,145.0792
2,0.0,1611.0,-37.8092,145.1016
3,2.0,260.0,-37.7966,145.1021
3,2.0,778.0,-37.7939,145.0789
4,4.0,1135.0,-37.8014,145.0892
2,1.0,253.0,-37.7912,145.085
7,2.0,942.0,-37.7923,145.1029
4,2.0,647.0,-37.7917,145.0868
5,4.0,760.0,-37.7907,145.0907
4,2.0,642.0,-37.7988,145.0726
3,1.0,888.0,-37.8002,145.0949
4,2.0,750.0,-37.7906,145.0788
3,2.0,347.0,-37.7947,145.1035
3,1.0,772.0,-37.7938,145.0732
4,2.0,673.0,-37.7856,145.0918
3,1.0,665.0,-37.7862,145.0781
4,2.0,772.0,-37.7959,145.0787
4,2.0,736.0,-37.7944,145.1028
4,1.0,847.0,-37.7954,145.0838
4,2.0,546.0,-37.7863,145.0905
5,4.0,886.0,-37.804,145.0951
4,3.0,667.0,-37.7898,145.079
3,2.0,207.0,-37.7893,145.092
3,2.0,645.0,-37.7851,145.0957
6,2.0,724.0,-37.8021,145.0985
4,2.0,662.0,-37.798,145.1007
4,2.0,610.0,-37.784,145.0878
4,2.0,283.0,-37.7982,145.0688
5,3.0,705.0,-37.7851,145.0775
4,2.0,619.0,-37.8025,145.0843
3,1.0,992.0,-37.7977,145.1037
4,2.0,714.0,-37.8007,145.1002
4,3.0,1274.0,-37.7822,145.0907
3,2.0,244.0,-37.7933,145.0672
5,4.0,624.0,-37.802,145.0797
4,2.0,610.0,-37.7843,145.0891
4,3.0,657.0,-37.7981,145.0904
4,2.0,517.0,-37.783,145.0926
4,2.0,715.0,-37.7943,145.083
4,2.0,587.0,-37.7841,145.0953
4,3.0,1070.0,-37.7975,145.0716
2,1.0,694.0,-37.7941,145.1042
2,2.0,204.0,-37.8008,145.10399999999996
4,3.0,689.0,-37.7871,145.0843
5,1.0,800.0,-37.8023,145.0976
5,3.0,900.0,-37.7868,145.0677
4,2.0,815.0,-37.794,145.1019
5,2.0,1138.0,-37.7928,145.1006
3,1.0,464.0,-37.7945,145.0667
3,2.0,763.0,-37.7935,145.0865
3,1.0,854.0,-37.7971,145.0672
3,1.0,542.0,-37.7832,145.0779
3,3.0,310.0,-37.7949,145.1014
7,3.0,637.0,-37.7898,145.0967
4,3.0,665.0,-37.7889,145.0904
5,2.0,710.0,-37.7907,145.0916
5,2.0,1002.0,-37.796,145.0984
3,1.0,605.0,-37.7951,145.0696
4,3.0,1247.0,-37.7964,145.086
3,1.0,722.0,-37.7956,145.0829
4,2.0,1040.0,-37.7992,145.0907
4,2.0,1235.0,-37.7988,145.089
4,3.0,904.0,-37.797,145.086
4,2.0,654.0,-37.7885,145.0854
3,1.0,713.0,-37.7982,145.0816
4,2.0,639.0,-37.7879,145.0929
4,3.0,869.0,-37.8002,145.0999
4,1.0,1042.0,-37.7908,145.101
2,1.0,467.0,-37.7945,145.067
4,2.0,667.0,-37.7835,145.0883
4,3.0,362.0,-37.7987,145.0788
3,1.0,809.0,-37.7976,145.0684
4,3.0,707.0,-37.8005,145.0986
5,5.0,1364.0,-37.7961,145.0859
3,2.0,917.0,-37.7968,145.0873
4,2.0,1010.0,-37.7982,145.0903
3,2.0,349.0,-37.7955,145.0694
3,2.0,949.0,-37.796,145.0696
2,1.0,701.0,-37.7867,145.0718
2,1.0,177.0,-37.7935,145.0679
6,1.0,691.0,-37.8022,145.0775
3,2.0,368.0,-37.7846,145.0935
3,2.0,760.0,-37.7867,145.0797
3,2.0,493.0,-37.7938,145.0675
4,2.0,587.0,-37.7841,145.0953
